x_mm y_mm z_mm
-109.555013 3.272025 -64.407464
-109.383800 6.583491 -64.624962
-109.281745 -8.198050 -64.699659
-109.279459 8.162925 -64.724904
-109.138197 0.002098 -63.997766
-109.125440 -1.627208 -63.922350
-109.083248 3.232476 -64.227666
-109.044090 4.927760 -64.248344
-108.975179 6.485811 -63.905217
-108.838407 -8.157146 -63.798872
-108.841871 8.165018 -63.803538
-108.784928 -13.069867 -64.366217
-108.705028 -1.643449 -63.499958
-108.696373 3.247057 -63.328674
-108.624643 -4.895231 -63.283638
-108.571541 4.895837 -63.568487
-108.603127 -11.339397 -63.766040
-108.526381 -6.518279 -63.281677
-108.432311 -8.115650 -63.196029
-108.435720 8.125778 -63.166194
-108.344078 -12.947757 -64.253898
-108.385423 16.350316 -64.672631
-108.328742 -0.084164 -62.208326
-108.284767 1.662125 -62.523249
-108.267455 -9.756280 -63.475420
-108.300988 9.725311 -63.356180
-108.247930 -3.255017 -62.652543
-108.233918 3.249880 -62.599680
-108.211964 -4.884195 -63.013527
-108.202998 4.886218 -62.463081
-108.174192 -14.655447 -64.033047
-108.198615 14.727822 -63.658103
-108.115648 -11.395205 -63.380345
-108.106938 -6.498322 -62.602377
-108.075030 17.914928 -64.678772
-108.001281 -8.082637 -62.701589
-107.950537 -12.995674 -63.426039
-107.998765 12.956238 -63.097317
-107.971138 16.237265 -64.103249
-107.903612 0.005638 -61.834921
-107.876515 -9.709532 -62.798275
-107.826193 9.680058 -62.753317
-107.875065 -1.594003 -61.963589
-107.842252 1.636405 -61.656477
-107.856175 -3.285833 -61.773819
-107.834329 3.314098 -61.774032
-107.842871 -19.607224 -64.497607
-107.824541 19.545396 -64.701011
-107.742614 -4.854230 -61.848770
-107.819643 4.779569 -61.770775
-107.728841 -14.623807 -63.470792
-107.734742 14.576291 -63.246480
-107.751255 11.296437 -62.589866
-107.681199 -6.416966 -61.919396
-107.669040 -17.853112 -63.906762
-107.675364 17.870767 -64.418141
-107.569425 8.030046 -61.678300
-107.485696 12.936097 -62.537733
-107.486438 -16.203691 -63.521821
-107.500785 16.246295 -63.394160
-107.465719 -21.184591 -64.647654
-107.545281 21.165122 -64.563527
-107.470930 0.039599 -61.265257
-107.469966 -9.681709 -61.574115
-107.453863 9.663852 -62.158920
-107.420659 1.579838 -61.052173
-107.410313 -3.184247 -61.228131
-107.447770 3.221790 -60.934118
-107.426951 -19.522273 -63.863204
-107.387079 19.471828 -63.823523
-107.318397 -4.848958 -61.186337
-107.308575 14.519361 -62.599296
-107.315175 -11.307978 -61.584459
-107.349450 11.225859 -62.181928
-107.251382 -6.382715 -61.553727
-107.283801 6.417693 -60.668223
-107.275410 17.779367 -63.487662
-107.210091 24.442572 -65.197003
-107.176096 -22.762841 -64.662251
-107.185566 22.805097 -64.890723
-107.182351 -8.005746 -61.417891
-107.201521 8.005721 -60.834732
-107.106413 12.843223 -62.063387
-107.089006 21.117126 -64.088623
-107.062042 -16.153277 -62.285557
-107.106503 16.136768 -62.425913
-107.062575 -0.028766 -60.268309
-107.048122 -9.656971 -61.403915
-107.040925 9.607282 -60.828881
-106.951197 -1.622654 -60.241274
-107.039693 1.629789 -60.343450
-106.953970 -3.223333 -60.078438
-107.006213 3.201043 -60.602787
-106.950652 -19.389415 -63.155765
-106.967050 19.422876 -63.495206
-106.920481 4.822046 -60.491062
-106.919784 -14.490223 -61.671330
-106.900672 26.065180 -65.281341
-106.901444 -11.255589 -61.113822
-106.833274 17.734606 -62.807335
-106.839022 -6.416406 -60.091020
-106.788828 -24.316532 -64.662611
-106.821427 24.384611 -64.564946
-106.777705 -22.641393 -63.950929
-106.732188 22.683941 -64.089665
-106.714895 -8.005041 -60.368407
-106.681685 7.928630 -60.354064
-106.719861 12.803114 -60.810975
-106.717255 -20.988694 -63.278531
-106.626682 20.937701 -63.502757
-106.619847 -16.098967 -61.438273
-106.676943 16.081672 -61.736572
-106.613813 -0.006632 -59.829229
-106.629379 9.599455 -60.064154
-106.617230 -1.572635 -59.907512
-106.572552 -19.323367 -62.458317
-106.559508 -3.159960 -59.825314
-106.544478 3.189515 -59.786172
-106.452751 -4.792026 -59.926164
-106.492257 4.801568 -59.469353
-106.459956 -14.428900 -60.979066
-106.540779 14.460789 -60.883840
-106.477647 25.975373 -64.542622
-106.450746 -11.247709 -60.521042
-106.413245 11.199122 -60.101727
-106.458893 -17.676349 -61.758024
-106.423776 24.293401 -63.895904
-106.381429 -6.347272 -59.798374
-106.395369 6.337766 -59.318070
-106.309826 -22.607370 -63.145479
-106.325113 -7.941238 -59.947374
-106.254180 -12.765540 -60.467314
